Tweets_name,Tweets_url,Tweets_twitterhandle,Tweets_twitterhandle_url,Tweets_tweet,Tweets_replies,Tweets_retweets,Tweets_likes,Tweets_Dateoftweet,Tweets_Dateoftweet_url,Tweets_Verified,Tweets_Verified_url
MoInMak,https://twitter.com/MoinMAK1,MoinMAK1,https://twitter.com/MoinMAK1,"Such a pleasent surprise to see @GAUAHAR_KHAN in #BadrinathKiDulhania ,she looked so dashing nd strong as Police officer, LOVE","Reply
1","Retweet
22","Like
111",10 Mar 2017,https://twitter.com/MoinMAK1/status/840248737662410752,,
Joginder Tuteja,https://twitter.com/Tutejajoginder,Tutejajoginder,https://twitter.com/Tutejajoginder,"#BadrinathKiDulhania is a #Superhit in the making. So congratulations in advance, @karanjohar @shashankkhaitan @Varun_dvn @aliaa08 :)","Reply
7","Retweet
56","Like
114",10 Mar 2017,https://twitter.com/Tutejajoginder/status/840248404584288256,Verified account,https://twitter.com/Tutejajoginder
I am NOT a boy,https://twitter.com/ishab26,ishab26,https://twitter.com/ishab26,#BadrinathKiDulhania going crazy in London.Almost all the shows are housefull.It's very difficult to get tickets. @Varun_dvn,"Reply
1","Retweet
19","Like
22",10 Mar 2017,https://twitter.com/ishab26/status/840246209071611904,,
"simplypurple
⚡",https://twitter.com/4simplypurple,4simplypurple,https://twitter.com/4simplypurple,Finally going to watch the late show of #BadrinathKiDulhania just to catch @GAUAHAR_KHAN as the cute police officer.,"Reply
6","Retweet
29","Like
172",10 Mar 2017,https://twitter.com/4simplypurple/status/840245876425674752,,
Komal Nahta,https://twitter.com/KomalNahta,KomalNahta,https://twitter.com/KomalNahta,My rough estimates #BadrinathKiDulhania Day 1 12-13 around crore; day 2 16-17 cr.; day 3 20 cr. Weekend 48-50 cr. 1st week around 80 crore!,"Reply
36","Retweet
116","Like
386",10 Mar 2017,https://twitter.com/KomalNahta/status/840237395991748612,,
Bollywood Hungama,https://twitter.com/Bollyhungama,Bollyhungama,https://twitter.com/Bollyhungama,".@Varun_dvn & @aliaa08 's #BadrinathKiDulhania Day1Fri #NewZealand #boxoffice 21,931 USD Rs.14.60lacs frm 15 scrns","Reply
2","Retweet
48","Like
152",10 Mar 2017,https://twitter.com/Bollyhungama/status/840232941301166080,Verified account,https://twitter.com/Bollyhungama
Bollywood Hungama,https://twitter.com/Bollyhungama,Bollyhungama,https://twitter.com/Bollyhungama,".@Varun_dvn & @aliaa08 's #BadrinathKiDulhania Day 1 in overseas, beats #Kaabil and comes close to #JollyLLB2
http://www.bollywoodhungama.com/news/box-office-special-features/box-office-badrinath-ki-dulhania-day-1-overseas-beats-kaabil-comes-close-jolly-llb-2/ …","Reply
10","Retweet
91","Like
252",10 Mar 2017,https://twitter.com/Bollyhungama/status/840232287203659777,Verified account,https://twitter.com/Bollyhungama
India Forums,https://twitter.com/indiaforums,indiaforums,https://twitter.com/indiaforums,"Cutest Reaction
@Varun_dvn @aliaa08
#BadrinathKiDulhania","Reply
1","Retweet
35","Like
108",10 Mar 2017,https://twitter.com/indiaforums/status/840226997381017600,Verified account,https://twitter.com/indiaforums
vajir k singh,https://twitter.com/vajir,vajir,https://twitter.com/vajir,#BadrinathKiDulhania is a fun-loving film with brilliant performances from @Varun_dvn & @aliaa08 A sure-shot winner,"Reply
4","Retweet
49","Like
76",10 Mar 2017,https://twitter.com/vajir/status/840222145548562432,Verified account,https://twitter.com/vajir
Colors Cineplex,https://twitter.com/rishteycineplex,rishteycineplex,https://twitter.com/rishteycineplex,Here's our review of #BadrinathKiDulhania. Read on to know if @aliaa08 & @Varun_dvn save the grace in this one.,"Reply
1","Retweet
46","Like
134",10 Mar 2017,https://twitter.com/rishteycineplex/status/840221267781283840,Verified account,https://twitter.com/rishteycineplex
